,xgb_shap,rf_shap,xgb_gain,rf_mdi,mean_rank
gdp_per_capita_ppp__x__education_exp_pct_gdp,4.9442453,2.4703020433650487,0.5855455,0.2393590143855822,1.0
sanitation_access,1.1871974,1.7328621847210663,0.14547838,0.17471799427712736,2.25
fertility_rate,1.72141,1.3339675140932041,0.08316763,0.10241508831289778,3.0
water_access,0.9960872,1.1810634147786918,0.07880033,0.11657540366451272,4.0
age_65_plus_pct,1.1329072,0.7663804551845882,0.016456598,0.046332405152208746,5.5
gdp_per_capita_ppp__x__wgi_gov_effectiveness,0.76639956,0.5542388825965909,0.029897429,0.022343349023266148,6.5
age_0_14_pct,0.29849324,1.0388689092784402,0.0065694065,0.09738487427296678,6.5
immunization_dpt,0.4644481,0.42965003531253254,0.011182527,0.012906011328164201,8.25
log_gdp_per_capita_ppp,0.27014083,0.17084957500769102,0.006319981,0.0069327711527680394,12.75
undp_eys,0.09284537,0.3036283470319791,0.0007432661,0.02991074376482321,15.0
population_density,0.11715322,0.13641790112116742,0.0031961456,0.0046234164136313635,15.75
tertiary_enroll,0.08936039,0.118636326164926,0.0010500492,0.011231434341866004,18.0
health_exp_pct_gdp__x__physicians_per_1000,0.0,0.2875907118862696,0.0015043066,0.02138423732499048,18.5
physicians_per_1000,0.10724703,0.14784990433715706,0.0007186911,0.008149020008973305,18.75
gdp_per_capita_ppp_roll3,0.0,0.1901257794685427,0.0017598176,0.007800698728905351,20.25
gdp_per_capita_ppp,0.0,0.18927982921022288,0.0015615325,0.007620327349685736,21.0
gdp_per_capita_ppp_lag3,0.18563187,0.0,0.0018501466,0.002369573889154184,21.5
internet_users_pct,0.14445607,0.0,0.0015534407,0.0022902484448444004,22.75
secondary_enroll,0.106965505,0.0,0.0012676531,0.0022301917056161682,24.75
immunization_measles,0.0,0.1682773831389751,0.00082666316,0.005356621299558139,25.0
education_exp_pct_gdp__x__urban_pop_pct,0.08886241,0.0,0.0010103871,0.0030116012264770004,26.0
gov_expenditure_pct_gdp,0.11696957,0.0,0.0013145255,0.0011404102633307482,26.75
gdp_x_health,0.0,0.0,0.0035704677,0.005998771654382617,26.75
remittances_pct_gdp,0.101703905,0.0,0.00073310564,0.0015030944718831267,29.0
log_gdp_sq,0.0,0.22866142162464848,3.9205617e-05,0.008950995248467668,30.0
log_gdp_cu,0.0,0.2432783130473166,0.0,0.009708509367918668,30.0
wgi_gov_effectiveness,0.0,0.13751257389249222,5.7725883e-05,0.014258946800116244,30.25
health_exp_per_capita,0.0,0.0,0.0012046776,0.002025360859448179,31.5
oop_health_exp_pct,0.0,0.0,0.00068308075,0.0029271849449425914,33.0
gni_per_capita_atlas,0.0,0.0,0.0009282693,0.0015872629369473247,33.25
unemployment,0.08964022,0.0,0.0006099067,0.0009615866080548914,33.25
gdp_per_capita_ppp_lag2,0.0,0.0,0.0010511528,0.0012333104554045392,33.25
health_exp_pct_gdp_roll3,0.0,0.0,0.0006648323,0.0021335552062905065,34.5
undp_mys,0.0,0.0,0.0005265655,0.0020131245552769436,36.0
hospital_beds_per_1000,0.0,0.0,0.00077074755,0.0010718889056540739,36.0
gdp_per_capita_ppp_lag1,0.0,0.0,0.00083660893,0.0008111735917532531,36.75
log_health_exp_per_capita,0.0,0.0,0.00016554502,0.003018737883034011,37.5
literacy_adult,0.0,0.0,0.00032715785,0.001860567424144787,37.5
log_gdp_per_capita_usd,0.0,0.0,0.00049524783,0.0012137273581491542,37.75
health_exp_pct_gdp_roll5,0.0,0.0,0.0006730998,0.0009201839380680654,38.0
education_exp_pct_gdp,0.0,0.0,0.00030288464,0.001369417985614598,38.5
health_exp_pct_gdp,0.0,0.0,0.0006360676,0.000871733457313474,38.75
gdp_per_capita_ppp_roll5,0.0,0.0,0.00044109963,0.0011842820750850103,38.75
tb_incidence,0.0,0.0,0.0005670584,0.0007815783606722338,39.75
wgi_rule_of_law,0.0,0.0,0.0001683367,0.0010772053595228931,41.5
wgi_corruption_control,0.0,0.0,0.0002212896,0.0009648774513013746,41.5
wgi_voice_accountability,0.0,0.0,0.00045347842,0.0006591820562796682,41.75
trade_pct_gdp,0.0,0.0,0.00047487838,0.0005549699992138219,42.0
education_exp_pct_gdp_lag1,0.0,0.0,0.00024388901,0.0006876897875419617,42.75
wgi_political_stability,0.0,0.0,0.0002255248,0.0006899224154504033,42.75
health_exp_pct_gdp_lag1,0.0,0.0,0.00030050954,0.0006379428880300516,43.0
urban_pop_pct,0.0,0.0,0.00028724378,0.00045015373593815656,43.75
urban_pop_pct_lag1,0.0,0.0,0.00019344714,0.0003290461062785559,45.0
wgi_regulatory_quality,0.0,0.0,0.00011581236,0.0006757426982965685,45.0
inflation_cpi,0.0,0.0,0.00011869977,0.00028305390413702774,46.0
gdp_growth,0.0,0.0,0.00011698946,0.00023844888225974464,46.75
fdi_inflows_pct_gdp,0.0,0.0,2.0931633e-05,0.0002613342957778026,47.5
